,unique_id,ds,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
43,Brno_1,2024-03-17,53948.918,45846.42,48597.0,50546.004,52326.914,53948.918,55559.453,57521.977,60271.566,64595.797
44,Prague_1,2023-05-21,62458.785,59022.02,60030.938,61165.066,61982.863,62458.785,63314.0,64303.035,65559.76,66903.48
45,Prague_1,2023-05-28,61083.77,57258.043,58378.4,59321.61,60133.09,61083.77,62187.406,62868.547,63850.32,65669.48
46,Prague_1,2023-06-04,59932.52,55776.863,57202.1,58082.06,58851.61,59932.52,60658.125,61489.418,62761.008,64218.418
47,Prague_1,2023-06-11,58637.973,54167.27,55913.465,57006.145,58004.855,58637.973,59715.645,60367.22,61636.047,63052.434
48,Prague_1,2023-06-18,57859.727,53290.67,54954.945,56285.457,57080.926,57859.727,59145.516,60299.297,61472.594,63173.918
49,Prague_1,2023-06-25,56859.973,51695.176,53818.957,54808.723,55828.43,56859.973,57682.984,58507.633,60234.848,61960.344
50,Prague_1,2023-07-02,55739.562,50652.113,52819.938,53825.402,54932.195,55739.562,56661.402,57795.777,58982.99,60680.6
51,Prague_1,2023-07-09,54566.098,49664.84,51165.91,52703.688,53724.832,54566.098,55723.707,56787.785,57510.01,59067.977
52,Prague_1,2023-07-16,54503.863,49016.125,51026.53,52335.383,53324.133,54503.863,55070.957,56255.637,57497.664,59408.23
53,Prague_1,2023-07-23,53947.88,48292.53,50407.43,51805.902,52928.734,53947.88,54845.016,55906.918,57374.535,58885.766
54,Prague_1,2023-07-30,54139.336,48780.906,50502.355,51995.066,52757.32,54139.336,55167.12,56022.53,57377.344,59487.637
55,Prague_1,2023-08-06,53641.324,48073.92,50442.652,51565.23,52402.26,53641.324,54460.14,55546.695,56860.703,59033.17
56,Prague_1,2023-08-13,54061.848,49026.543,50810.254,51900.258,52734.66,54061.848,55033.66,56207.06,57632.926,59592.72
57,Prague_1,2023-08-20,54990.812,49736.598,51411.824,52810.297,53724.61,54990.812,56101.17,57573.105,58709.973,61018.2
58,Prague_1,2023-08-27,55396.848,49907.1,51722.035,53188.082,54524.4,55396.848,56600.465,58190.137,59552.66,61550.996
59,Prague_1,2023-09-03,55599.363,49737.164,51827.562,53265.32,54092.74,55599.363,56518.08,58130.527,59495.945,62186.09
60,Prague_1,2023-09-10,56375.73,50439.76,52593.844,53718.918,55175.21,56375.73,57425.297,58894.547,60582.15,62787.707
61,Prague_1,2023-09-17,57517.566,51743.61,53668.72,54901.85,56370.305,57517.566,58773.473,60033.46,62125.887,63865.36
62,Prague_1,2023-09-24,57508.973,51459.867,53633.027,55186.684,56513.566,57508.973,58813.79,60283.496,61924.31,64502.703
63,Prague_1,2023-10-01,58705.473,51879.074,54446.258,55858.89,57331.62,58705.473,59921.438,61493.043,62965.87,65364.816
64,Prague_1,2023-10-08,59106.875,52579.4,55010.062,56660.312,57642.008,59106.875,60288.668,61748.855,63619.63,65821.734
65,Prague_1,2023-10-15,59566.297,53051.375,55557.418,56785.4,58162.44,59566.297,60600.805,62224.074,63486.812,66355.06
66,Prague_1,2023-10-22,60035.33,53434.125,55894.812,57307.434,58664.0,60035.33,61142.355,62556.734,64206.758,66453.9
67,Prague_1,2023-10-29,59687.94,53233.145,55485.344,57101.484,58480.453,59687.94,61050.754,62527.137,64176.152,66333.04
68,Prague_1,2023-11-05,60241.266,52977.84,55769.72,57299.367,58559.88,60241.266,61490.395,62868.664,64612.777,67334.05
69,Prague_1,2023-11-12,60445.824,52986.1,55843.38,57512.51,59125.145,60445.824,62129.99,63689.645,65369.58,67928.97
70,Prague_1,2023-11-19,60996.445,53817.027,56436.367,58294.562,59682.637,60996.445,62408.31,63832.105,65957.336,68666.75
71,Prague_1,2023-11-26,60847.8,53817.184,56587.746,58029.38,59729.895,60847.8,62494.36,63625.613,65863.09,68221.97
72,Prague_1,2023-12-03,61322.02,54002.68,56639.73,58637.797,60171.32,61322.02,62940.348,64567.605,66348.98,68761.8
73,Prague_1,2023-12-10,61834.996,54496.383,57223.05,58713.54,60526.117,61834.996,63419.094,64934.61,66795.08,69751.414
74,Prague_1,2023-12-17,61823.484,54679.49,57446.73,59235.29,60780.723,61823.484,63566.13,64952.57,66948.68,69715.92
75,Prague_1,2023-12-24,60004.074,53457.31,55762.74,57770.95,59003.082,60004.074,61592.777,62775.71,64872.758,67249.73
76,Prague_1,2023-12-31,57942.59,51414.703,53762.258,55446.004,56527.1,57942.59,59037.58,60657.86,61903.316,64613.984
77,Prague_1,2024-01-07,57940.76,51369.125,53673.895,55442.688,56741.1,57940.76,59471.54,60564.164,62745.05,64823.906
78,Prague_1,2024-01-14,60403.445,53280.242,55735.48,57580.883,59327.08,60403.445,61919.098,63536.19,65304.742,68049.586
79,Prague_1,2024-01-21,62426.234,55374.77,58025.37,59567.21,61115.785,62426.234,64028.383,65657.88,67308.86,70437.055
80,Prague_1,2024-01-28,62199.06,55632.32,57996.93,59517.4,61136.387,62199.06,63726.695,65411.35,67570.375,70226.73
81,Prague_1,2024-02-04,62703.99,55704.35,58210.492,59932.297,61098.3,62703.99,64090.965,65500.934,67359.08,70404.125
82,Prague_1,2024-02-11,62933.56,55782.69,58473.223,60020.26,61198.344,62933.56,64012.258,65650.85,67714.84,70630.92
83,Prague_1,2024-02-18,62559.65,55971.12,58206.39,59890.914,61102.664,62559.65,63972.2,65402.58,67411.41,70383.67
84,Prague_1,2024-02-25,62528.88,55918.574,58199.137,59802.285,61000.58,62528.88,63832.727,65454.152,67024.59,70062.44
85,Prague_1,2024-03-03,62036.023,55833.207,57989.97,59453.324,60697.61,62036.023,63253.91,64594.902,66769.35,69101.65
86,Prague_1,2024-03-10,61827.08,55779.07,58132.234,59286.3,61073.69,61827.08,63843.902,65070.824,67217.45,69844.07
87,Prague_1,2024-03-17,62941.535,56132.547,58647.91,60203.355,61376.434,62941.535,64199.2,65859.25,68398.414,71522.12
88,Prague_2,2023-05-21,38182.61,35895.805,36513.023,37198.22,37695.438,38182.61,38687.145,39323.59,40124.477,41143.555
89,Prague_2,2023-05-28,37105.836,34604.566,35385.21,35936.164,36512.707,37105.836,37905.99,38381.516,39167.42,40507.508
90,Prague_2,2023-06-04,36731.887,33875.965,34827.652,35549.91,35968.53,36731.887,37187.566,37948.414,38770.754,40012.492
91,Prague_2,2023-06-11,35738.125,32604.121,33745.77,34524.37,35213.38,35738.125,36592.984,37099.375,38047.066,38965.39
92,Prague_2,2023-06-18,35642.12,32323.658,33514.21,34479.734,34998.035,35642.12,36588.035,37190.797,38288.336,39601.246
93,Prague_2,2023-06-25,35067.65,31267.486,32782.016,33581.824,34219.34,35067.65,35747.84,36330.31,37499.91,38997.97
94,Prague_2,2023-07-02,34438.125,30737.092,32311.469,33016.156,33769.8,34438.125,35182.543,35964.64,36927.316,38367.742
95,Prague_2,2023-07-09,33935.09,30285.355,31509.98,32436.7,33312.633,33935.09,34819.086,35553.777,36340.523,37616.7
96,Prague_2,2023-07-16,33955.836,29985.834,31402.615,32347.17,33175.723,33955.836,34629.1,35521.426,36487.12,37978.055
97,Prague_2,2023-07-23,33845.406,29717.17,31250.027,32195.54,33131.234,33845.406,34552.973,35347.145,36525.65,37877.35
98,Prague_2,2023-07-30,33865.33,30040.312,31293.938,32449.363,33027.008,33865.33,34822.61,35542.707,36569.594,38215.98
99,Prague_2,2023-08-06,34069.387,29792.447,31546.893,32388.889,33112.7,34069.387,34744.066,35673.223,36670.51,38446.688
100,Prague_2,2023-08-13,34086.88,30018.717,31431.783,32261.879,33053.062,34086.88,34931.59,35813.555,36856.473,38417.98
101,Prague_2,2023-08-20,34481.43,30291.371,31779.105,32807.445,33443.965,34481.43,35111.027,36255.098,37327.098,39033.637
102,Prague_2,2023-08-27,34556.24,30541.87,31919.934,32939.07,33957.14,34556.24,35398.12,36760.29,37665.805,39165.188
103,Prague_2,2023-09-03,34837.793,30431.65,32077.254,33007.543,33728.547,34837.793,35494.68,36731.598,37757.492,39544.75
104,Prague_2,2023-09-10,34904.254,30538.783,32089.504,32856.258,33978.074,34904.254,35707.707,36799.965,37901.016,39576.617
105,Prague_2,2023-09-17,35232.496,31276.6,32468.791,33377.535,34411.918,35232.496,36052.016,36971.336,38381.703,39662.215
106,Prague_2,2023-09-24,35218.062,31148.027,32457.615,33576.023,34412.203,35218.062,36281.207,37186.246,38320.582,40167.043
107,Prague_2,2023-10-01,35703.535,30971.459,32652.242,33668.44,34598.5,35703.535,36510.39,37537.65,38681.934,40428.848
108,Prague_2,2023-10-08,35623.18,31260.99,32797.45,33987.887,34775.4,35623.18,36609.89,37608.816,38918.332,40478.75
109,Prague_2,2023-10-15,35705.85,31328.56,32990.28,33792.43,34822.62,35705.85,36481.547,37530.82,38476.535,40455.61
110,Prague_2,2023-10-22,36049.76,31491.498,33102.13,34169.727,35102.242,36049.76,36858.793,37790.438,39017.64,40674.715
111,Prague_2,2023-10-29,35802.39,31239.725,32841.402,33887.227,34853.88,35802.39,36732.188,37776.523,38958.52,40583.15
112,Prague_2,2023-11-05,35813.816,30828.672,32618.992,33686.82,34655.086,35813.816,36719.453,37642.316,39007.566,41209.434
113,Prague_2,2023-11-12,35751.57,30563.555,32361.648,33689.777,34737.51,35751.57,37011.355,38192.26,39500.81,41519.63
114,Prague_2,2023-11-19,35789.32,30567.922,32507.625,33696.676,34844.547,35789.32,36852.094,38079.883,39385.414,41700.586
115,Prague_2,2023-11-26,35104.02,30111.334,31963.426,33114.176,34325.81,35104.02,36366.492,37381.45,38925.164,40931.74
116,Prague_2,2023-12-03,35547.062,30365.684,32242.32,33591.69,34508.33,35547.062,36713.13,37822.605,39275.293,41220.82
117,Prague_2,2023-12-10,35976.06,30732.09,32620.357,33723.29,34977.555,35976.06,37119.535,38231.914,39674.684,41923.188
118,Prague_2,2023-12-17,35911.574,30838.928,32813.08,33965.945,35013.42,35911.574,37201.656,38131.793,39557.58,41746.19
119,Prague_2,2023-12-24,34828.906,30229.982,31725.498,33130.5,34043.742,34828.906,36081.797,36878.24,38322.68,40325.812
120,Prague_2,2023-12-31,34291.42,29450.129,31073.84,32339.078,33210.453,34291.42,35199.992,36320.65,37343.535,39363.777
121,Prague_2,2024-01-07,34639.75,29703.598,31513.723,32726.871,33793.926,34639.75,35875.133,36692.69,38356.37,40141.902
122,Prague_2,2024-01-14,36014.887,30816.615,32558.8,33896.68,35209.92,36014.887,37130.793,38380.39,39674.703,41934.41
123,Prague_2,2024-01-21,36985.984,31830.305,33676.57,34721.027,35985.52,36985.984,38080.47,39266.266,40435.035,42866.875
124,Prague_2,2024-01-28,36472.496,31670.469,33344.773,34272.914,35551.38,36472.496,37566.316,38646.44,40146.664,42065.32
125,Prague_2,2024-02-04,36645.867,31682.932,33391.234,34702.098,35620.96,36645.867,37517.28,38607.246,39925.734,42070.984
126,Prague_2,2024-02-11,36961.723,31771.506,33738.797,34851.906,35614.098,36961.723,37832.406,38946.72,40516.938,42544.81
127,Prague_2,2024-02-18,37061.035,32045.34,33692.473,35046.656,36039.93,37061.035,38137.887,39240.38,40543.81,42864.47
128,Prague_2,2024-02-25,37090.047,32029.11,33709.914,35031.31,36084.92,37090.047,38123.293,39397.965,40534.797,43041.945
129,Prague_2,2024-03-03,36849.55,31903.107,33685.883,34792.355,35819.17,36849.55,37874.477,38904.367,40415.816,42487.656
130,Prague_2,2024-03-10,36743.457,32005.436,33759.87,34806.414,35998.76,36743.457,38178.98,39172.914,40799.812,42823.77
131,Prague_2,2024-03-17,37266.36,31958.982,33865.79,35063.004,36020.29,37266.36,38298.5,39495.62,41173.01,43539.746
132,Prague_3,2023-05-21,34720.715,32845.586,33342.746,33975.676,34382.043,34720.715,35163.465,35669.97,36294.59,37027.816
133,Prague_3,2023-05-28,33747.543,31676.033,32294.904,32710.902,33207.77,33747.543,34421.105,34712.156,35259.832,36289.27
134,Prague_3,2023-06-04,33339.934,30984.723,31776.34,32281.406,32715.82,33339.934,33645.65,34207.44,34859.316,35759.426
135,Prague_3,2023-06-11,32495.385,29887.146,30891.504,31434.867,32025.547,32495.385,33112.03,33535.086,34179.24,34911.883
136,Prague_3,2023-06-18,31958.04,29402.895,30351.016,31187.682,31539.727,31958.04,32812.586,33442.605,34117.24,35118.62
137,Prague_3,2023-06-25,31431.354,28393.764,29712.205,30256.205,30799.768,31431.354,31957.967,32428.04,33413.434,34528.625
138,Prague_3,2023-07-02,30874.783,27890.56,29163.393,29802.355,30436.61,30874.783,31527.799,32127.713,32883.2,33989.39
139,Prague_3,2023-07-09,30437.389,27391.766,28406.469,29265.07,29870.643,30437.389,31101.7,31761.107,32253.307,33232.176
140,Prague_3,2023-07-16,30496.393,27151.018,28325.578,29114.6,29788.578,30496.393,30919.572,31587.818,32309.682,33558.414
141,Prague_3,2023-07-23,30147.07,26712.877,28040.773,28873.256,29563.934,30147.07,30704.559,31357.434,32325.623,33237.047
142,Prague_3,2023-07-30,30304.422,27078.896,28184.906,29088.889,29525.713,30304.422,31004.428,31498.307,32383.498,33668.297
143,Prague_3,2023-08-06,30299.547,26782.322,28309.39,28993.014,29556.162,30299.547,30789.465,31457.629,32293.848,33685.832
144,Prague_3,2023-08-13,30467.213,27260.922,28374.97,29057.78,29601.01,30467.213,31106.922,31839.621,32634.156,33796.906
145,Prague_3,2023-08-20,30946.924,27680.195,28717.617,29610.408,30109.988,30946.924,31504.078,32416.518,33183.03,34528.836
146,Prague_3,2023-08-27,31226.918,27808.1,28917.143,29783.453,30622.96,31226.918,31904.44,32940.902,33711.297,34877.582
147,Prague_3,2023-09-03,31163.816,27537.426,28902.42,29726.596,30237.455,31163.816,31638.955,32727.64,33498.82,35007.363
148,Prague_3,2023-09-10,31352.396,27784.209,29000.936,29661.11,30629.22,31352.396,31944.115,32830.68,33795.973,35039.844
149,Prague_3,2023-09-17,31735.258,28313.756,29509.867,30155.982,31038.473,31735.258,32466.02,33219.082,34418.074,35326.562
150,Prague_3,2023-09-24,31719.297,28155.977,29415.951,30409.287,31155.74,31719.297,32612.035,33425.867,34362.113,35865.41
151,Prague_3,2023-10-01,32392.127,28257.559,29830.943,30706.592,31530.0,32392.127,33081.25,33948.074,34937.758,36355.62
152,Prague_3,2023-10-08,32496.998,28714.336,30226.957,31191.88,31755.078,32496.998,33337.92,34261.79,35314.316,36636.887
153,Prague_3,2023-10-15,32755.932,28777.672,30300.465,31057.95,31877.475,32755.932,33338.816,34320.12,35035.12,36758.074
154,Prague_3,2023-10-22,33004.13,28944.42,30424.467,31317.959,32181.91,33004.13,33721.91,34532.594,35643.83,36969.03
155,Prague_3,2023-10-29,32751.086,28770.256,30240.498,31127.295,31963.414,32751.086,33532.65,34461.176,35492.41,36861.742
156,Prague_3,2023-11-05,32926.367,28506.238,30201.617,31023.918,31868.0,32926.367,33694.61,34539.555,35664.258,37466.86
157,Prague_3,2023-11-12,32875.383,28447.246,30102.414,31139.436,32059.04,32875.383,34023.812,34947.24,36032.066,37711.656
158,Prague_3,2023-11-19,33130.523,28653.326,30377.535,31449.164,32343.682,33130.523,33959.953,34914.785,36177.777,38058.984
159,Prague_3,2023-11-26,32770.504,28565.596,30157.998,31017.588,32136.412,32770.504,33804.62,34595.99,35974.746,37556.332
160,Prague_3,2023-12-03,32982.934,28583.121,30159.88,31385.977,32182.662,32982.934,34034.773,34948.645,36106.68,37768.66
161,Prague_3,2023-12-10,33186.043,28736.031,30373.291,31283.63,32385.537,33186.043,34189.3,35068.895,36237.75,38189.23
162,Prague_3,2023-12-17,33096.387,28742.184,30507.078,31503.713,32321.834,33096.387,34135.52,34994.758,36183.035,38097.047
163,Prague_3,2023-12-24,32175.68,28234.39,29547.188,30807.172,31643.56,32175.68,33261.043,33997.87,35337.44,37009.33
164,Prague_3,2023-12-31,31462.986,27343.625,28778.492,29850.625,30561.566,31462.986,32240.584,33260.777,34065.168,35887.504
165,Prague_3,2024-01-07,31366.195,27295.363,28762.023,29859.547,30652.984,31366.195,32372.678,33005.594,34368.246,35903.145
166,Prague_3,2024-01-14,32103.393,27900.895,29339.145,30347.908,31487.258,32103.393,33081.91,34055.176,35106.3,36892.176
167,Prague_3,2024-01-21,32879.258,28794.959,30299.025,31128.256,32111.6,32879.258,33855.434,34807.402,35713.637,37662.62
168,Prague_3,2024-01-28,32684.559,28860.83,30226.77,30982.602,32060.129,32684.559,33627.383,34562.375,35827.953,37366.113
169,Prague_3,2024-02-04,33038.184,28910.09,30432.936,31414.707,32132.469,33038.184,33782.57,34660.727,35749.195,37548.617
170,Prague_3,2024-02-11,33217.38,28982.045,30627.553,31493.29,32122.557,33217.38,33824.277,34775.81,36077.04,37756.684
171,Prague_3,2024-02-18,32937.32,28948.895,30399.914,31404.88,32172.76,32937.32,33883.52,34627.137,35777.42,37688.746
172,Prague_3,2024-02-25,32928.566,28879.326,30338.129,31305.268,32081.766,32928.566,33710.824,34779.344,35670.215,37564.848
173,Prague_3,2024-03-03,32612.91,28773.254,30194.268,31075.93,31770.424,32612.91,33359.457,34211.797,35481.15,37075.062
174,Prague_3,2024-03-10,32369.39,28600.896,30077.1,30839.482,31851.195,32369.39,33653.055,34409.016,35719.35,37384.418
175,Prague_3,2024-03-17,32797.176,28712.277,30212.285,31170.59,31919.855,32797.176,33586.395,34568.605,35953.42,37775.203
